age,workclass,fnlwgt,education,education_num,marital_status,occupation,relationship,race,sex,capital_gain,capital_loss,hrs_per_week,native.country,income
31,2,252752,HS-grad,9,1,Other-service,Wife,White,0,0,2415,40,United-States,>50K
46,1,192963,Bachelors,13,1,Adm-clerical,Husband,Asian-Pac-Islander,1,0,2415,35,Philippines,>50K
46,2,198759,Prof-school,15,1,Prof-specialty,Husband,White,1,0,2415,80,United-States,>50K
39,3,143123,Assoc-voc,11,1,Craft-repair,Husband,White,1,0,2415,40,United-States,>50K
39,1,237713,Prof-school,15,1,Sales,Husband,White,1,0,2415,99,United-States,>50K
59,1,81929,Doctorate,16,1,Prof-specialty,Husband,White,1,0,2415,45,United-States,>50K
50,3,167793,Prof-school,15,1,Prof-specialty,Husband,White,1,0,2415,60,United-States,>50K
46,1,456062,Doctorate,16,1,Prof-specialty,Husband,White,1,0,2415,55,United-States,>50K
53,2,105478,Bachelors,13,1,Exec-managerial,Husband,White,1,0,2415,40,United-States,>50K
50,2,42402,Prof-school,15,1,Prof-specialty,Husband,White,1,0,2415,30,United-States,>50K
41,3,114580,Prof-school,15,1,Exec-managerial,Wife,White,0,0,2415,55,United-States,>50K
36,1,346478,Bachelors,13,1,Sales,Husband,White,1,0,2415,45,United-States,>50K
38,1,187870,Prof-school,15,1,Prof-specialty,Husband,White,1,0,2415,90,United-States,>50K
54,1,35576,Some-college,10,1,Sales,Husband,White,1,0,2415,50,United-States,>50K
50,1,102346,Bachelors,13,1,Exec-managerial,Wife,White,0,0,2415,20,United-States,>50K
47,1,148995,Bachelors,13,1,Exec-managerial,Husband,White,1,0,2415,60,United-States,>50K
47,3,102308,Prof-school,15,1,Prof-specialty,Husband,White,1,0,2415,45,United-States,>50K
67,1,105252,Bachelors,13,6,Exec-managerial,Not-in-family,White,1,0,2392,40,United-States,>50K
67,3,106175,Bachelors,13,1,Exec-managerial,Husband,White,1,0,2392,75,United-States,>50K
72,2,52138,Doctorate,16,1,Prof-specialty,Husband,White,1,0,2392,25,United-States,>50K
72,?,118902,Doctorate,16,1,?,Husband,White,1,0,2392,6,United-States,>50K
46,3,191978,Masters,14,1,Exec-managerial,Husband,White,1,0,2392,50,United-States,>50K
78,3,188044,Bachelors,13,1,Exec-managerial,Husband,White,1,0,2392,40,United-States,>50K
71,3,66624,Bachelors,13,1,Exec-managerial,Husband,White,1,0,2392,60,United-States,>50K
83,3,153183,Bachelors,13,1,Exec-managerial,Husband,White,1,0,2392,55,United-States,>50K
68,1,211287,Masters,14,1,Exec-managerial,Husband,White,1,0,2392,40,United-States,>50K
68,0,235882,Doctorate,16,1,Prof-specialty,Husband,White,1,0,2377,60,United-States,>50K
49,3,158685,HS-grad,9,1,Adm-clerical,Wife,White,0,0,2377,40,United-States,>50K
70,2,155141,Bachelors,13,1,Craft-repair,Husband,White,1,0,2377,12,United-States,>50K
81,1,177408,HS-grad,9,1,Exec-managerial,Husband,White,1,0,2377,26,United-States,>50K
66,2,427422,Doctorate,16,1,Sales,Husband,White,1,0,2377,25,United-States,>50K
71,1,152307,HS-grad,9,1,Exec-managerial,Husband,White,1,0,2377,45,United-States,>50K
68,1,218637,Some-college,10,1,Sales,Husband,White,1,0,2377,55,United-States,>50K
68,0,202699,Masters,14,1,Prof-specialty,Husband,White,1,0,2377,42,?,>50K
65,?,240857,Bachelors,13,1,?,Husband,White,1,0,2377,40,United-States,>50K
68,?,257269,Bachelors,13,1,?,Husband,White,1,0,2377,35,United-States,>50K
70,3,207938,Bachelors,13,1,Exec-managerial,Husband,White,1,0,2377,50,United-States,>50K
69,1,228921,Bachelors,13,6,Prof-specialty,Not-in-family,White,1,0,2282,40,United-States,>50K
38,1,101978,Some-college,10,4,Machine-op-inspct,Not-in-family,White,1,0,2258,55,United-States,>50K
46,0,192779,Assoc-acdm,12,5,Adm-clerical,Unmarried,White,1,0,2258,38,United-States,>50K
29,1,135296,Bachelors,13,0,Exec-managerial,Not-in-family,White,0,0,2258,45,United-States,>50K
39,1,156897,HS-grad,9,0,Craft-repair,Own-child,White,1,0,2258,42,United-States,>50K
47,1,138107,Bachelors,13,5,Exec-managerial,Not-in-family,White,1,0,2258,40,United-States,>50K
26,1,279833,Bachelors,13,0,Exec-managerial,Not-in-family,White,1,0,2258,45,United-States,>50K
23,1,102942,Bachelors,13,0,Prof-specialty,Own-child,White,0,0,2258,40,United-States,>50K
57,1,121362,Some-college,10,6,Adm-clerical,Unmarried,White,0,0,2258,38,United-States,>50K
44,4,29591,Bachelors,13,5,Tech-support,Not-in-family,White,1,0,2258,40,United-States,>50K
49,0,269417,Doctorate,16,0,Exec-managerial,Not-in-family,White,0,0,2258,50,United-States,>50K
55,1,41108,Some-college,10,6,Farming-fishing,Not-in-family,White,1,0,2258,62,United-States,>50K
45,1,187901,HS-grad,9,5,Farming-fishing,Not-in-family,White,1,0,2258,44,United-States,>50K
48,1,175070,HS-grad,9,5,Exec-managerial,Not-in-family,White,0,0,2258,40,United-States,>50K
31,1,263561,Bachelors,13,1,Exec-managerial,Husband,White,1,0,2246,45,United-States,>50K
55,5,99131,HS-grad,9,1,Prof-specialty,Other-relative,White,0,0,2246,40,United-States,>50K
70,2,143833,Some-college,10,1,Exec-managerial,Husband,White,1,0,2246,40,United-States,>50K
70,2,124449,Masters,14,1,Exec-managerial,Husband,White,1,0,2246,8,United-States,>50K
73,1,336007,Bachelors,13,1,Prof-specialty,Husband,White,1,0,2246,40,United-States,>50K
72,2,285408,Prof-school,15,1,Prof-specialty,Husband,White,1,0,2246,28,United-States,>50K
23,2,258298,Bachelors,13,0,Adm-clerical,Own-child,White,1,0,2231,40,United-States,>50K
49,5,102359,9th,5,6,Handlers-cleaners,Unmarried,White,1,0,2231,40,United-States,>50K
27,5,92431,Some-college,10,0,Protective-serv,Not-in-family,White,1,0,2231,40,United-States,>50K
42,3,23510,Masters,14,5,Exec-managerial,Unmarried,Asian-Pac-Islander,1,0,2201,60,India,>50K
66,?,177351,Bachelors,13,1,?,Husband,White,1,0,2174,40,United-States,>50K
65,2,111483,Some-college,10,1,Exec-managerial,Husband,White,1,0,2174,10,United-States,>50K
70,1,282642,HS-grad,9,1,Handlers-cleaners,Husband,White,1,0,2174,40,United-States,>50K
75,2,309955,Prof-school,15,1,Prof-specialty,Husband,White,1,0,2174,50,United-States,>50K
65,0,215908,HS-grad,9,1,Adm-clerical,Husband,White,1,0,2174,40,United-States,>50K
65,4,23494,Some-college,10,1,Exec-managerial,Husband,Black,1,0,2174,40,United-States,>50K
73,1,147551,Some-college,10,1,Prof-specialty,Husband,White,1,0,2174,50,United-States,>50K
51,1,96062,Some-college,10,1,Sales,Husband,White,1,0,1977,40,United-States,>50K
40,1,207578,Assoc-acdm,12,1,Tech-support,Husband,White,1,0,1977,60,United-States,>50K
41,1,445382,Masters,14,1,Exec-managerial,Husband,White,1,0,1977,65,United-States,>50K
49,1,192776,Masters,14,1,Exec-managerial,Husband,White,1,0,1977,45,United-States,>50K
37,1,22463,Assoc-voc,11,1,Craft-repair,Husband,White,1,0,1977,40,United-States,>50K
36,3,108293,Bachelors,13,1,Exec-managerial,Wife,White,0,0,1977,45,United-States,>50K
35,1,199352,Prof-school,15,1,Prof-specialty,Husband,White,1,0,1977,80,United-States,>50K
29,3,260729,HS-grad,9,1,Sales,Wife,White,0,0,1977,25,United-States,>50K
50,1,133963,Bachelors,13,1,Prof-specialty,Wife,White,0,0,1977,40,United-States,>50K
46,1,129007,Bachelors,13,1,Sales,Husband,White,1,0,1977,40,United-States,>50K
44,2,179557,HS-grad,9,1,Exec-managerial,Husband,White,1,0,1977,45,United-States,>50K
42,5,111252,Masters,14,1,Exec-managerial,Husband,White,1,0,1977,40,United-States,>50K
38,4,338320,Prof-school,15,1,Prof-specialty,Husband,White,1,0,1977,50,United-States,>50K
45,1,192835,Bachelors,13,1,Exec-managerial,Husband,White,1,0,1977,55,United-States,>50K
43,5,147328,Masters,14,1,Exec-managerial,Husband,White,1,0,1977,60,United-States,>50K
47,3,139268,Prof-school,15,1,Prof-specialty,Husband,White,1,0,1977,60,United-States,>50K
58,3,349910,Prof-school,15,1,Prof-specialty,Husband,White,1,0,1977,50,United-States,>50K
48,1,331482,Prof-school,15,1,Tech-support,Husband,White,1,0,1977,40,United-States,>50K
42,5,245307,Bachelors,13,1,Exec-managerial,Husband,White,1,0,1977,48,United-States,>50K
55,1,153484,Masters,14,1,Exec-managerial,Husband,White,1,0,1977,50,United-States,>50K
51,1,252903,10th,6,1,Sales,Husband,White,1,0,1977,40,United-States,>50K
32,1,295589,Masters,14,1,Exec-managerial,Husband,Black,1,0,1977,40,United-States,>50K
45,5,160472,Bachelors,13,1,Exec-managerial,Husband,White,1,0,1977,50,United-States,>50K
56,1,192869,Masters,14,1,Craft-repair,Husband,White,1,0,1977,44,United-States,>50K
38,1,234901,Masters,14,1,Exec-managerial,Husband,White,1,0,1977,60,United-States,>50K
45,1,33300,Assoc-voc,11,1,Sales,Husband,White,1,0,1977,50,United-States,>50K
49,1,101825,Masters,14,1,Prof-specialty,Wife,White,0,0,1977,40,United-States,>50K
36,1,183612,HS-grad,9,1,Prof-specialty,Husband,White,1,0,1977,40,United-States,>50K
49,1,185041,Masters,14,1,Exec-managerial,Husband,White,1,0,1977,40,United-States,>50K
30,1,315640,Doctorate,16,1,Prof-specialty,Husband,Asian-Pac-Islander,1,0,1977,40,China,>50K
42,3,123838,Prof-school,15,1,Prof-specialty,Husband,White,1,0,1977,50,United-States,>50K
55,1,31905,Masters,14,1,Exec-managerial,Husband,White,1,0,1977,40,United-States,>50K
34,1,181091,Bachelors,13,1,Exec-managerial,Husband,White,1,0,1977,45,United-States,>50K
54,1,88278,Doctorate,16,1,Prof-specialty,Husband,White,1,0,1977,50,United-States,>50K
42,2,323790,Bachelors,13,1,Exec-managerial,Husband,White,1,0,1977,70,United-States,>50K
25,5,90730,Bachelors,13,1,Prof-specialty,Husband,White,1,0,1977,40,United-States,>50K
55,3,138594,HS-grad,9,1,Exec-managerial,Husband,White,1,0,1977,45,United-States,>50K
58,0,194068,Masters,14,1,Prof-specialty,Husband,White,1,0,1977,50,United-States,>50K
62,1,218009,HS-grad,9,1,Transport-moving,Husband,White,1,0,1977,60,United-States,>50K
43,3,221172,Prof-school,15,1,Prof-specialty,Husband,White,1,0,1977,40,United-States,>50K
57,5,174132,Masters,14,1,Prof-specialty,Wife,Black,0,0,1977,40,United-States,>50K
42,3,277256,Doctorate,16,1,Prof-specialty,Husband,White,1,0,1977,60,United-States,>50K
63,2,35021,Bachelors,13,1,Prof-specialty,Husband,Asian-Pac-Islander,1,0,1977,32,China,>50K
47,2,213668,Prof-school,15,1,Prof-specialty,Husband,White,1,0,1977,50,United-States,>50K
37,1,99146,Bachelors,13,1,Exec-managerial,Husband,White,1,0,1977,50,United-States,>50K
40,1,209547,Bachelors,13,1,Sales,Husband,White,1,0,1977,60,United-States,>50K
43,1,118308,Bachelors,13,1,Prof-specialty,Husband,White,1,0,1977,50,United-States,>50K
43,0,33331,Prof-school,15,1,Prof-specialty,Husband,White,1,0,1977,70,United-States,>50K
41,2,200574,Prof-school,15,1,Prof-specialty,Husband,White,1,0,1977,60,United-States,>50K
32,1,204374,Prof-school,15,1,Prof-specialty,Husband,White,1,0,1977,60,United-States,>50K
47,1,189680,Bachelors,13,1,Sales,Husband,White,1,0,1977,40,United-States,>50K
39,4,175232,Some-college,10,1,Handlers-cleaners,Husband,White,1,0,1977,60,United-States,>50K
53,1,193720,Some-college,10,1,Exec-managerial,Husband,White,1,0,1977,40,United-States,>50K
34,1,189759,Bachelors,13,1,Exec-managerial,Husband,White,1,0,1977,45,United-States,>50K
36,1,32776,Bachelors,13,1,Exec-managerial,Husband,White,1,0,1977,40,United-States,>50K
47,5,285060,Masters,14,1,Exec-managerial,Husband,White,1,0,1977,41,United-States,>50K
52,1,23780,Assoc-voc,11,1,Exec-managerial,Husband,White,1,0,1977,45,United-States,>50K
40,2,284706,Prof-school,15,1,Prof-specialty,Husband,Amer-Indian-Eskimo,1,0,1977,60,United-States,>50K
42,3,130126,Bachelors,13,1,Prof-specialty,Husband,White,1,0,1977,40,United-States,>50K
51,1,102615,Masters,14,1,Protective-serv,Husband,White,1,0,1977,40,United-States,>50K
55,1,208311,Masters,14,1,Tech-support,Husband,White,1,0,1977,20,United-States,>50K
38,1,111499,HS-grad,9,1,Sales,Husband,White,1,0,1977,99,United-States,>50K
52,1,139671,Some-college,10,1,Exec-managerial,Husband,White,1,0,1977,50,United-States,>50K
60,4,165630,HS-grad,9,1,Tech-support,Husband,White,1,0,1977,40,United-States,>50K
55,1,124808,Assoc-voc,11,1,Prof-specialty,Husband,White,1,0,1977,50,Germany,>50K
47,5,29819,Masters,14,1,Exec-managerial,Husband,Black,1,0,1977,50,United-States,>50K
46,1,102771,Masters,14,1,Tech-support,Husband,White,1,0,1977,40,United-States,>50K
35,1,86648,Masters,14,1,Prof-specialty,Husband,White,1,0,1977,45,United-States,>50K
59,3,223215,Bachelors,13,1,Exec-managerial,Husband,White,1,0,1977,50,United-States,>50K
57,1,437727,Masters,14,1,Prof-specialty,Husband,White,1,0,1977,45,United-States,>50K
46,1,167515,Some-college,10,1,Prof-specialty,Husband,White,1,0,1977,50,United-States,>50K
46,4,213140,Masters,14,1,Exec-managerial,Husband,White,1,0,1977,40,United-States,>50K
52,1,168553,HS-grad,9,1,Craft-repair,Husband,White,1,0,1977,40,United-States,>50K
45,1,363677,Doctorate,16,1,Prof-specialty,Wife,White,0,0,1977,30,United-States,>50K
37,1,241998,Bachelors,13,1,Tech-support,Husband,White,1,0,1977,40,United-States,>50K
46,1,337050,Masters,14,1,Exec-managerial,Husband,White,1,0,1977,45,United-States,>50K
44,1,157249,Bachelors,13,1,Prof-specialty,Husband,Black,1,0,1977,50,United-States,>50K
45,1,84298,Assoc-voc,11,1,Exec-managerial,Husband,White,1,0,1977,50,United-States,>50K
43,1,55213,HS-grad,9,1,Machine-op-inspct,Husband,White,1,0,1977,52,United-States,>50K
54,5,185846,Masters,14,1,Prof-specialty,Husband,White,1,0,1977,40,United-States,>50K
50,1,150999,Masters,14,1,Prof-specialty,Husband,White,1,0,1977,40,United-States,>50K
51,1,199688,Bachelors,13,1,Exec-managerial,Husband,White,1,0,1977,60,?,>50K
45,1,225456,Bachelors,13,1,Prof-specialty,Husband,White,1,0,1977,40,United-States,>50K
36,1,192939,Masters,14,1,Prof-specialty,Husband,White,1,0,1977,60,United-States,>50K
27,1,183627,Bachelors,13,1,Exec-managerial,Husband,White,1,0,1977,50,United-States,>50K
36,1,189404,Bachelors,13,1,Sales,Husband,White,1,0,1977,35,United-States,>50K
53,1,152810,Masters,14,1,Exec-managerial,Husband,White,1,0,1977,55,United-States,>50K
51,5,123011,Masters,14,1,Prof-specialty,Husband,White,1,0,1977,35,United-States,>50K
28,1,114158,Bachelors,13,1,Prof-specialty,Wife,White,0,0,1977,24,United-States,>50K
47,2,228660,Some-college,10,1,Craft-repair,Husband,White,1,0,1977,40,United-States,>50K
45,1,233511,Bachelors,13,1,Exec-managerial,Husband,White,1,0,1977,60,United-States,>50K
45,5,159816,Masters,14,1,Prof-specialty,Wife,White,0,0,1977,35,United-States,>50K
39,2,202027,Prof-school,15,1,Prof-specialty,Husband,White,1,0,1977,50,United-States,>50K
39,1,218490,Bachelors,13,1,Exec-managerial,Husband,White,1,0,1977,40,United-States,>50K
55,2,248841,Masters,14,1,Prof-specialty,Husband,White,1,0,1977,40,United-States,>50K
62,1,71751,Some-college,10,1,Exec-managerial,Husband,White,1,0,1977,98,United-States,>50K
49,1,137192,Bachelors,13,1,Sales,Husband,Asian-Pac-Islander,1,0,1977,50,South,>50K
53,2,100109,Masters,14,1,Exec-managerial,Husband,White,1,0,1977,40,United-States,>50K
31,1,183043,Masters,14,1,Exec-managerial,Husband,White,1,0,1977,48,United-States,>50K
42,3,188738,HS-grad,9,1,Exec-managerial,Husband,White,1,0,1977,60,Italy,>50K
39,1,201410,Bachelors,13,1,Transport-moving,Husband,White,1,0,1977,45,Philippines,>50K
60,2,282066,Bachelors,13,1,Exec-managerial,Husband,White,1,0,1977,45,United-States,>50K
26,1,291968,Prof-school,15,1,Prof-specialty,Husband,White,1,0,1977,40,United-States,>50K
37,1,126569,Masters,14,1,Exec-managerial,Husband,White,1,0,1977,40,United-States,>50K
45,0,103406,Bachelors,13,1,Exec-managerial,Husband,White,1,0,1977,60,United-States,>50K
37,1,109133,Assoc-acdm,12,1,Sales,Husband,White,1,0,1977,45,United-States,>50K
32,1,195602,Bachelors,13,1,Sales,Husband,White,1,0,1977,45,United-States,>50K
39,3,135500,HS-grad,9,1,Exec-managerial,Husband,White,1,0,1977,40,United-States,>50K
58,2,147653,10th,6,1,Craft-repair,Wife,White,0,0,1977,35,?,>50K
45,1,145636,Masters,14,1,Exec-managerial,Husband,White,1,0,1977,43,United-States,>50K
41,1,137126,Bachelors,13,1,Prof-specialty,Husband,White,1,0,1977,45,United-States,>50K
36,2,36270,HS-grad,9,1,Farming-fishing,Husband,White,1,0,1977,65,United-States,>50K
51,0,285747,Masters,14,1,Prof-specialty,Husband,White,1,0,1977,60,United-States,>50K
39,1,80324,Some-college,10,1,Exec-managerial,Husband,White,1,0,1977,62,United-States,>50K
56,2,94156,Prof-school,15,1,Prof-specialty,Husband,White,1,0,1977,50,United-States,>50K
53,4,271544,HS-grad,9,1,Adm-clerical,Husband,Black,1,0,1977,40,United-States,>50K
40,2,175943,Assoc-voc,11,1,Prof-specialty,Wife,White,0,0,1977,15,United-States,>50K
57,1,141570,Masters,14,1,Exec-managerial,Husband,Black,1,0,1977,40,United-States,>50K
50,5,124963,HS-grad,9,1,Craft-repair,Husband,White,1,0,1977,35,United-States,>50K
34,1,112115,Prof-school,15,1,Prof-specialty,Husband,White,1,0,1977,55,United-States,>50K
35,1,99357,Bachelors,13,1,Exec-managerial,Wife,White,0,0,1977,30,United-States,>50K
30,2,404062,HS-grad,9,1,Prof-specialty,Husband,White,1,0,1977,15,United-States,>50K
53,5,200190,Masters,14,1,Prof-specialty,Husband,White,1,0,1977,55,United-States,>50K
31,0,207505,Doctorate,16,1,Prof-specialty,Husband,White,1,0,1977,70,United-States,>50K
37,1,135436,Bachelors,13,1,Exec-managerial,Husband,White,1,0,1977,60,United-States,>50K
34,1,345705,Bachelors,13,1,Sales,Husband,White,1,0,1977,50,United-States,>50K
36,1,126675,Masters,14,1,Prof-specialty,Husband,White,1,0,1977,50,United-States,>50K
40,1,107433,Bachelors,13,1,Exec-managerial,Husband,White,1,0,1977,50,United-States,>50K
51,1,230858,Some-college,10,1,Craft-repair,Husband,White,1,0,1977,60,United-States,>50K
33,1,133503,HS-grad,9,1,Sales,Husband,White,1,0,1977,45,United-States,>50K
40,1,46990,Doctorate,16,1,Prof-specialty,Wife,White,0,0,1977,20,United-States,>50K
50,3,201689,7th-8th,4,1,Craft-repair,Husband,White,1,0,1977,63,?,>50K
46,3,216414,Masters,14,1,Sales,Husband,White,1,0,1977,60,United-States,>50K
54,1,182314,Doctorate,16,1,Exec-managerial,Husband,White,1,0,1977,50,United-States,>50K
39,1,134367,Masters,14,1,Prof-specialty,Wife,White,0,0,1977,24,United-States,>50K
54,3,206964,Some-college,10,1,Sales,Husband,White,1,0,1977,40,United-States,>50K
31,1,147284,Doctorate,16,1,Prof-specialty,Husband,White,1,0,1977,99,United-States,>50K
51,1,172046,Masters,14,1,Exec-managerial,Husband,White,1,0,1977,50,United-States,>50K
55,1,175942,Doctorate,16,1,Prof-specialty,Husband,White,1,0,1977,55,?,>50K
36,1,145576,Masters,14,1,Adm-clerical,Husband,White,1,0,1977,40,Japan,>50K
41,3,93227,Bachelors,13,1,Exec-managerial,Husband,Asian-Pac-Islander,1,0,1977,60,Taiwan,>50K
56,2,48102,Some-college,10,1,Exec-managerial,Wife,White,0,0,1977,50,United-States,>50K
38,1,172538,Bachelors,13,1,Tech-support,Husband,White,1,0,1977,40,United-States,>50K
47,1,239865,HS-grad,9,1,Craft-repair,Husband,White,1,0,1977,45,United-States,>50K
39,5,180686,Masters,14,1,Prof-specialty,Husband,White,1,0,1977,45,United-States,>50K
59,1,170104,Bachelors,13,1,Exec-managerial,Husband,White,1,0,1977,50,United-States,>50K
54,1,511668,Doctorate,16,1,Exec-managerial,Husband,White,1,0,1977,43,United-States,>50K
54,2,109418,Bachelors,13,1,Exec-managerial,Wife,White,0,0,1977,35,United-States,>50K
